Date,Country,Min Wage
16-Sep,INDONESIA,3100000
16-Sep,INDIA,468
16-Sep,BANGLADESH,5300
16-Sep,VIETNAM,2400000
16-Oct,CHINA,2030
16-Oct,INDONESIA,3100000
16-Oct,INDIA,468
16-Oct,BANGLADESH,5300
16-Oct,VIETNAM,2400000
16-Nov,CHINA,2030
16-Nov,INDONESIA,3100000
16-Nov,INDIA,468
16-Nov,BANGLADESH,5300
16-Nov,VIETNAM,2400000
16-Dec,CHINA,2030
16-Dec,INDONESIA,3100000
16-Dec,INDIA,468
16-Dec,BANGLADESH,5300
16-Dec,VIETNAM,2400000
17-Jan,CHINA,2030
17-Jan,INDONESIA,3100000
17-Jan,INDIA,468
17-Jan,BANGLADESH,5300
17-Jan,VIETNAM,2580000
17-Feb,CHINA,2030
17-Feb,INDONESIA,3100000
17-Feb,INDIA,468
17-Feb,BANGLADESH,5300
17-Feb,VIETNAM,2580000
17-Mar,CHINA,2030
17-Mar,INDONESIA,3100000
17-Mar,INDIA,468
17-Mar,BANGLADESH,5300
17-Mar,VIETNAM,2580000
17-Apr,CHINA,2030
17-Apr,INDONESIA,3100000
17-Apr,INDIA,468
17-Apr,BANGLADESH,5300
17-Apr,VIETNAM,2580000
17-May,CHINA,2030
17-May,INDONESIA,3100000
17-May,INDIA,468
17-May,BANGLADESH,5300
17-May,VIETNAM,2580000
17-Jun,CHINA,2030
17-Jun,INDONESIA,3100000
17-Jun,INDIA,468
17-Jun,BANGLADESH,5300
17-Jun,VIETNAM,2580000
17-Jul,CHINA,2030
17-Jul,INDONESIA,3100000
17-Jul,INDIA,468
17-Jul,BANGLADESH,5300
17-Jul,VIETNAM,2580000
