Date,Cotton Type,Price (USD)
01-Feb-13,Pakistan KCA Spot,76.9
01-Feb-13,A index Cotton,89.71
01-Mar-13,China 328,139.78
01-Mar-13,CN-FC Index S,100.02
01-Mar-13,India Shankar-6,89.65
01-Mar-13,New York Nearby,88.17
01-Mar-13,Pakistan KCA Spot,82.97
01-Mar-13,A index Cotton,94.45
01-Apr-13,China 328,140.64
01-Apr-13,CN-FC Index S,98.55
01-Apr-13,India Shankar-6,89.63
01-Apr-13,New York Nearby,84.83
01-Apr-13,Pakistan KCA Spot,82.59
01-Apr-13,A index Cotton,92.69
01-May-13,China 328,141.58
01-May-13,CN-FC Index S,97.29
01-May-13,India Shankar-6,87.77
01-May-13,New York Nearby,84.65
01-May-13,Pakistan KCA Spot,78.6
01-May-13,A index Cotton,92.74
01-Jun-13,China 328,141.77
01-Jun-13,CN-FC Index S,98.05
01-Jun-13,India Shankar-6,88.01
01-Jun-13,New York Nearby,85.67
01-Jun-13,Pakistan KCA Spot,78.54
01-Jun-13,A index Cotton,93.08
01-Jul-13,China 328,141.34
01-Jul-13,CN-FC Index S,98.36
01-Jul-13,India Shankar-6,90.24
01-Jul-13,New York Nearby,85.87
01-Jul-13,Pakistan KCA Spot,78.09
01-Jul-13,A index Cotton,92.62
01-Aug-13,China 328,141.11
01-Aug-13,CN-FC Index S,99.05
01-Aug-13,India Shankar-6,93.03
01-Aug-13,New York Nearby,87.37
01-Aug-13,Pakistan KCA Spot,77.94
01-Aug-13,A index Cotton,92.58
01-Sep-13,China 328,143.1
01-Sep-13,CN-FC Index S,98.56
01-Sep-13,India Shankar-6,94.62
01-Sep-13,New York Nearby,84.32
01-Sep-13,Pakistan KCA Spot,78.81
01-Sep-13,A index Cotton,90.09
01-Oct-13,China 328,144.94
01-Oct-13,CN-FC Index S,96.84
01-Oct-13,India Shankar-6,92.74
01-Oct-13,New York Nearby,82.58
01-Oct-13,Pakistan KCA Spot,78
01-Oct-13,A index Cotton,89.35
01-Nov-13,China 328,145.57
01-Nov-13,CN-FC Index S,92.83
01-Nov-13,India Shankar-6,82.09
01-Nov-13,New York Nearby,76.66
01-Nov-13,Pakistan KCA Spot,72.5
01-Nov-13,A index Cotton,84.63
01-Dec-13,China 328,144.7
01-Dec-13,CN-FC Index S,95.18
01-Dec-13,India Shankar-6,80.76
01-Dec-13,New York Nearby,82.04
01-Dec-13,Pakistan KCA Spot,73.91
01-Dec-13,A index Cotton,87.49
01-Jan-14,China 328,144.56
01-Jan-14,CN-FC Index S,98.39
01-Jan-14,India Shankar-6,86.42
01-Jan-14,New York Nearby,85.03
01-Jan-14,Pakistan KCA Spot,80.21
01-Jan-14,A index Cotton,90.96
01-Feb-14,China 328,144.39
01-Feb-14,CN-FC Index S,100.22
01-Feb-14,India Shankar-6,87.18
01-Feb-14,New York Nearby,86.87
01-Feb-14,Pakistan KCA Spot,79.81
01-Feb-14,A index Cotton,94.05
01-Mar-14,China 328,143.49
01-Mar-14,CN-FC Index S,101.57
01-Mar-14,India Shankar-6,87.35
01-Mar-14,New York Nearby,91.79
01-Mar-14,Pakistan KCA Spot,80.6
01-Mar-14,A index Cotton,96.95
01-Apr-14,China 328,135.46
01-Apr-14,CN-FC Index S,101.65
01-Apr-14,India Shankar-6,88.72
01-Apr-14,New York Nearby,91.42
01-Apr-14,Pakistan KCA Spot,79.72
01-Apr-14,A index Cotton,92.4
01-May-14,China 328,128.27
01-May-14,CN-FC Index S,99.61
01-May-14,India Shankar-6,90.63
01-May-14,New York Nearby,85.72
01-May-14,Pakistan KCA Spot,82.72
01-May-14,A index Cotton,92.71
01-Jun-14,China 328,127.87
01-Jun-14,CN-FC Index S,97.67
01-Jun-14,India Shankar-6,89.72
01-Jun-14,New York Nearby,85.53
01-Jun-14,Pakistan KCA Spot,82.68
01-Jun-14,A index Cotton,90.1
01-Jul-14,China 328,126.79
01-Jul-14,CN-FC Index S,89.5
01-Jul-14,India Shankar-6,88.25
01-Jul-14,New York Nearby,68.2
01-Jul-14,Pakistan KCA Spot,74.13
01-Jul-14,A index Cotton,83.84
01-Aug-14,China 328,125.71
01-Aug-14,CN-FC Index S,84.28
01-Aug-14,India Shankar-6,83.38
01-Aug-14,New York Nearby,65
01-Aug-14,Pakistan KCA Spot,65.18
01-Aug-14,A index Cotton,74
01-Sep-14,China 328,122.57
01-Sep-14,CN-FC Index S,83.89
01-Sep-14,India Shankar-6,80.37
01-Sep-14,New York Nearby,66.33
01-Sep-14,Pakistan KCA Spot,64.14
01-Sep-14,A index Cotton,73.38
01-Oct-14,China 328,109.66
01-Oct-14,CN-FC Index S,80.22
01-Oct-14,India Shankar-6,69.51
01-Oct-14,New York Nearby,63.72
01-Oct-14,Pakistan KCA Spot,60.24
01-Oct-14,A index Cotton,70.34
01-Nov-14,China 328,108.43
01-Nov-14,CN-FC Index S,78.01
01-Nov-14,India Shankar-6,67.93
01-Nov-14,New York Nearby,61.1
01-Nov-14,Pakistan KCA Spot,58.41
01-Nov-14,A index Cotton,67.53
01-Dec-14,China 328,101.56
01-Dec-14,CN-FC Index S,77.72
01-Dec-14,India Shankar-6,67.24
01-Dec-14,New York Nearby,60.82
01-Dec-14,Pakistan KCA Spot,56.68
01-Dec-14,A index Cotton,68.38
01-Jan-15,China 328,99.93
01-Jan-15,CN-FC Index S,76.31
01-Jan-15,India Shankar-6,63.98
01-Jan-15,New York Nearby,59.29
01-Jan-15,Pakistan KCA Spot,57.85
01-Jan-15,A index Cotton,67.35
01-Feb-15,China 328,98.99
01-Feb-15,CN-FC Index S,78
01-Feb-15,India Shankar-6,63.03
01-Feb-15,New York Nearby,63.16
01-Feb-15,Pakistan KCA Spot,58.12
01-Feb-15,A index Cotton,69.84
01-Mar-15,China 328,99.23
01-Mar-15,CN-FC Index S,76.86
01-Mar-15,India Shankar-6,63.48
01-Mar-15,New York Nearby,62.53
01-Mar-15,Pakistan KCA Spot,59.6
01-Mar-15,A index Cotton,69.35
01-Apr-15,China 328,99.46
01-Apr-15,CN-FC Index S,78.78
01-Apr-15,India Shankar-6,67.76
01-Apr-15,New York Nearby,65.01
01-Apr-15,Pakistan KCA Spot,62.37
01-Apr-15,A index Cotton,71.7
01-May-15,China 328,99.09
01-May-15,CN-FC Index S,79.51
01-May-15,India Shankar-6,69.71
01-May-15,New York Nearby,65.05
01-May-15,Pakistan KCA Spot,64.26
01-May-15,A index Cotton,72.86
01-Jun-15,China 328,98.5
01-Jun-15,CN-FC Index S,79.08
01-Jun-15,India Shankar-6,67.28
01-Jun-15,New York Nearby,64.52
01-Jun-15,Pakistan KCA Spot,63.67
01-Jun-15,A index Cotton,72.35
01-Jul-15,China 328,97.62
01-Jul-15,CN-FC Index S,79.38
01-Jul-15,India Shankar-6,68.84
01-Jul-15,New York Nearby,65.39
01-Jul-15,Pakistan KCA Spot,56.17
01-Jul-15,A index Cotton,72.35
01-Aug-15,China 328,93.91
01-Aug-15,CN-FC Index S,78.05
01-Aug-15,India Shankar-6,66.71
01-Aug-15,New York Nearby,65.14
01-Aug-15,Pakistan KCA Spot,54.21
01-Aug-15,A index Cotton,71.76
01-Sep-15,China 328,93.03
01-Sep-15,CN-FC Index S,75.16
01-Sep-15,India Shankar-6,66.74
01-Sep-15,New York Nearby,61.63
01-Sep-15,Pakistan KCA Spot,54.29
01-Sep-15,A index Cotton,68.74
01-Oct-15,China 328,93.13
01-Oct-15,CN-FC Index S,75.32
01-Oct-15,India Shankar-6,63.61
01-Oct-15,New York Nearby,62.38
01-Oct-15,Pakistan KCA Spot,60.65
01-Oct-15,A index Cotton,69.03
01-Nov-15,China 328,92.37
01-Nov-15,CN-FC Index S,74.4
01-Nov-15,India Shankar-6,62.18
01-Nov-15,New York Nearby,61.71
01-Nov-15,Pakistan KCA Spot,61.29
01-Nov-15,A index Cotton,69.22
01-Dec-15,China 328,90.99
01-Dec-15,CN-FC Index S,74.59
01-Dec-15,India Shankar-6,63.75
01-Dec-15,New York Nearby,63.34
01-Dec-15,Pakistan KCA Spot,60.68
01-Dec-15,A index Cotton,70.3
01-Jan-16,China 328,87.44
01-Jan-16,CN-FC Index S,73.38
01-Jan-16,India Shankar-6,63.93
01-Jan-16,New York Nearby,61.76
01-Jan-16,Pakistan KCA Spot,62.35
01-Jan-16,A index Cotton,68.75
01-Feb-16,China 328,84.88
01-Feb-16,CN-FC Index S,71.53
01-Feb-16,India Shankar-6,62.59
01-Feb-16,New York Nearby,59.33
01-Feb-16,Pakistan KCA Spot,62.07
01-Feb-16,A index Cotton,66.58
01-Mar-16,China 328,82.8
01-Mar-16,CN-FC Index S,68.99
01-Mar-16,India Shankar-6,62.04
01-Mar-16,New York Nearby,57.5
01-Mar-16,Pakistan KCA Spot,60.86
01-Mar-16,A index Cotton,65.55
01-Apr-16,China 328,84.06
01-Apr-16,CN-FC Index S,72.91
01-Apr-16,India Shankar-6,65.24
01-Apr-16,New York Nearby,61.64
01-Apr-16,Pakistan KCA Spot,62.99
01-Apr-16,A index Cotton,69.28
01-May-16,China 328,86.98
01-May-16,CN-FC Index S,73.69
01-May-16,India Shankar-6,67.28
01-May-16,New York Nearby,62.26
01-May-16,Pakistan KCA Spot,65.24
01-May-16,A index Cotton,70.44
01-Jun-16,China 328,87.39
01-Jun-16,CN-FC Index S,76.56
01-Jun-16,India Shankar-6,74.77
01-Jun-16,New York Nearby,64.1
01-Jun-16,Pakistan KCA Spot,65.25
01-Jun-16,A index Cotton,74.1
01-Jul-16,China 328,97.24
01-Jul-16,CN-FC Index S,82.95
01-Jul-16,India Shankar-6,87.18
01-Jul-16,New York Nearby,70.35
01-Jul-16,Pakistan KCA Spot,71.53
01-Jul-16,A index Cotton,81.11
01-Aug-16,China 328,100.13
01-Aug-16,CN-FC Index S,84.19
01-Aug-16,India Shankar-6,88.34
01-Aug-16,New York Nearby,70.13
01-Aug-16,Pakistan KCA Spot,77.26
01-Aug-16,A index Cotton,80.09
01-Sep-16,China 328,96.87
01-Sep-16,CN-FC Index S,82.24
01-Sep-16,India Shankar-6,86.15
01-Sep-16,New York Nearby,68.87
01-Sep-16,Pakistan KCA Spot,70.97
01-Sep-16,A index Cotton,77.89
01-Oct-16,China 328,103.32
01-Oct-16,CN-FC Index S,82.14
01-Oct-16,India Shankar-6,78.69
01-Oct-16,New York Nearby,69.19
01-Oct-16,Pakistan KCA Spot,70.32
01-Oct-16,A index Cotton,78.52
01-Nov-16,China 328,103.93
01-Nov-16,CN-FC Index S,82.95
01-Nov-16,India Shankar-6,73.13
01-Nov-16,New York Nearby,70.86
01-Nov-16,Pakistan KCA Spot,70.65
01-Nov-16,A index Cotton,78.92
01-Dec-16,China 328,104
01-Dec-16,CN-FC Index S,82.95
01-Dec-16,India Shankar-6,73.5
01-Dec-16,New York Nearby,70.89
01-Dec-16,Pakistan KCA Spot,73.2
01-Dec-16,A index Cotton,79.46
01-Jan-17,China 328,103.78
01-Jan-17,CN-FC Index S,85.59
01-Jan-17,India Shankar-6,77.45
01-Jan-17,New York Nearby,73.22
01-Jan-17,Pakistan KCA Spot,75.2
01-Jan-17,A index Cotton,82.2
01-Feb-17,China 328,103.78
01-Feb-17,CN-FC Index S,85.59
01-Feb-17,India Shankar-6,77.45
01-Feb-17,New York Nearby,73.22
01-Feb-17,Pakistan KCA Spot,75.2
01-Feb-17,A index Cotton,82.2
14-Mar-17,China 328,104.93
14-Mar-17,CN-FC Index S,88.96
14-Mar-17,India Shankar-6,82.16
14-Mar-17,New York Nearby,76.87
14-Mar-17,Pakistan KCA Spot,80.49
14-Mar-17,A index Cotton,86.45
31-Mar-17,China 328,104.85
31-Mar-17,CN-FC Index S,89.26
31-Mar-17,India Shankar-6,83.55
31-Mar-17,New York Nearby,77.21
31-Mar-17,Pakistan KCA Spot,79.2
31-Mar-17,A index Cotton,86.78
05-Apr-17,China 328,104.45
05-Apr-17,CN-FC Index S,89.03
05-Apr-17,India Shankar-6,86.81
05-Apr-17,New York Nearby,74.85
05-Apr-17,Pakistan KCA Spot,78.31
05-Apr-17,A index Cotton,86
06-Apr-17,China 328,104.31
06-Apr-17,CN-FC Index S,89.04
06-Apr-17,India Shankar-6,86.61
06-Apr-17,New York Nearby,74.87
06-Apr-17,Pakistan KCA Spot,78.87
06-Apr-17,A index Cotton,85.6
07-Apr-17,China 328,104.23
07-Apr-17,CN-FC Index S,88.93
07-Apr-17,India Shankar-6,86.39
07-Apr-17,New York Nearby,74.51
07-Apr-17,Pakistan KCA Spot,79.16
07-Apr-17,A index Cotton,85.6
10-Apr-17,China 328,104.22
10-Apr-17,CN-FC Index S,87.98
10-Apr-17,India Shankar-6,85.48
10-Apr-17,New York Nearby,73.46
10-Apr-17,Pakistan KCA Spot,78.83
10-Apr-17,A index Cotton,85.55
11-Apr-17,China 328,104.06
11-Apr-17,CN-FC Index S,89.12
11-Apr-17,India Shankar-6,85.46
11-Apr-17,New York Nearby,75.15
11-Apr-17,Pakistan KCA Spot,78.35
11-Apr-17,A index Cotton,84.6
12-Apr-17,China 328,104.19
12-Apr-17,CN-FC Index S,89.18
12-Apr-17,India Shankar-6,85.15
12-Apr-17,New York Nearby,74.73
12-Apr-17,Pakistan KCA Spot,77.76
12-Apr-17,A index Cotton,85.9
13-Apr-17,China 328,104.26
13-Apr-17,CN-FC Index S,89.06
13-Apr-17,India Shankar-6,85.08
13-Apr-17,New York Nearby,75.62
13-Apr-17,Pakistan KCA Spot,78.94
13-Apr-17,A index Cotton,85.75
14-Apr-17,China 328,104.4
14-Apr-17,CN-FC Index S,89.22
14-Apr-17,India Shankar-6,85.36
14-Apr-17,New York Nearby,75.62
14-Apr-17,Pakistan KCA Spot,79.24
14-Apr-17,A index Cotton,85.75
17-Apr-17,China 328,104.38
17-Apr-17,CN-FC Index S,89.22
17-Apr-17,India Shankar-6,84.59
17-Apr-17,New York Nearby,77.93
17-Apr-17,Pakistan KCA Spot,79.19
17-Apr-17,A index Cotton,85.75
18-Apr-17,China 328,104.47
18-Apr-17,CN-FC Index S,90.76
18-Apr-17,India Shankar-6,84.54
18-Apr-17,New York Nearby,76.82
18-Apr-17,Pakistan KCA Spot,78.82
18-Apr-17,A index Cotton,87.8
19-Apr-17,China 328,104.61
19-Apr-17,CN-FC Index S,90.76
19-Apr-17,India Shankar-6,84.4
19-Apr-17,New York Nearby,77.67
19-Apr-17,Pakistan KCA Spot,78.99
19-Apr-17,A index Cotton,87.8
20-Apr-17,China 328,104.5
20-Apr-17,CN-FC Index S,91.08
20-Apr-17,India Shankar-6,84.31
20-Apr-17,New York Nearby,80.07
20-Apr-17,Pakistan KCA Spot,79.28
20-Apr-17,A index Cotton,87.8
21-Apr-17,China 328,104.59
21-Apr-17,CN-FC Index S,91.08
21-Apr-17,India Shankar-6,84.67
21-Apr-17,New York Nearby,78.99
21-Apr-17,Pakistan KCA Spot,78.37
21-Apr-17,A index Cotton,88.5
24-Apr-17,China 328,104.95
24-Apr-17,CN-FC Index S,92.34
24-Apr-17,India Shankar-6,84.34
24-Apr-17,New York Nearby,80.09
24-Apr-17,Pakistan KCA Spot,78.98
24-Apr-17,A index Cotton,87.75
25-Apr-17,China 328,105.51
25-Apr-17,CN-FC Index S,91.85
25-Apr-17,India Shankar-6,84.89
25-Apr-17,New York Nearby,80.64
25-Apr-17,Pakistan KCA Spot,79.53
25-Apr-17,A index Cotton,88.3
26-Apr-17,China 328,105.51
26-Apr-17,CN-FC Index S,91.85
26-Apr-17,India Shankar-6,84.89
26-Apr-17,New York Nearby,80.64
26-Apr-17,Pakistan KCA Spot,79.53
26-Apr-17,A index Cotton,88.3
27-Apr-17,China 328,105.51
27-Apr-17,CN-FC Index S,91.85
27-Apr-17,India Shankar-6,84.89
27-Apr-17,New York Nearby,80.64
27-Apr-17,Pakistan KCA Spot,79.53
27-Apr-17,A index Cotton,88.3
28-Apr-17,China 328,104.92
28-Apr-17,CN-FC Index S,91.95
28-Apr-17,India Shankar-6,84.04
28-Apr-17,New York Nearby,80.23
28-Apr-17,Pakistan KCA Spot,78.71
28-Apr-17,A index Cotton,87.75
01-May-17,China 328,104.91
01-May-17,CN-FC Index S,90.8
01-May-17,India Shankar-6,83.9
01-May-17,New York Nearby,80.45
